event,date,headline_change,truth_change,headline_before,headline_after,truth_before,truth_after
Invasion,2022-02-24,,,,2.309285714285714,,
Kyiv Battle,2022-02-28,0.01142857142857201,,2.3649999999999998,2.376428571428572,,
Mariupol,2022-03-16,0.025714285714285356,,2.4214285714285717,2.447142857142857,,2.0
Bucha,2022-04-02,0.37642857142857045,,2.450714285714286,2.8271428571428565,2.0,
Mariupol Falls,2022-05-20,0.027142857142857135,0.5916666666666663,2.7042857142857137,2.731428571428571,2.3333333333333335,2.925
Kharkiv Liberation,2022-09-11,0.07428571428571384,-0.10000000000000009,3.4771428571428573,3.551428571428571,2.75,2.65
Kherson Free,2022-11-11,0.13571428571428656,-0.25,2.9707142857142856,3.106428571428572,2.0,1.75
Bakhmut Falls,2023-05-20,0.7442857142857142,-0.20900000000000007,3.0564285714285715,3.8007142857142857,2.0,1.791
Counteroffensive,2023-06-04,0.2078571428571423,0.15900000000000003,3.8007142857142857,4.008571428571428,1.791,1.95
Dam Destroyed,2023-06-06,-0.12428571428571367,0.30888888888888877,3.886428571428571,3.7621428571428575,1.741111111111111,2.05
Avdiivka Falls,2024-02-17,0.14785714285714313,-0.35825174825174844,3.1485714285714286,3.2964285714285717,1.8946153846153846,1.5363636363636362
Kursk,2024-08-06,0.7521428571428572,-0.5376373626373625,3.204285714285714,3.9564285714285714,2.766923076923077,2.2292857142857145
Vuhledar Falls,2024-10-02,-0.028571428571429358,0.3335714285714282,3.350714285714286,3.3221428571428566,2.0742857142857143,2.4078571428571425
Trump Elected,2024-11-05,-0.12928571428571445,-0.1778571428571425,3.523571428571429,3.3942857142857146,2.1778571428571425,2.0
Trump Policy,2025-01-20,-0.24214285714285655,0.8176666666666665,3.141428571428571,2.8992857142857145,1.329,2.1466666666666665
Trump-Putin,2025-02-12,-0.5064285714285712,-0.48611111111111116,2.746428571428571,2.2399999999999998,2.875,2.388888888888889
US-Ukraine Rift,2025-02-28,0.40000000000000036,0.4220454545454544,2.1928571428571426,2.592857142857143,2.5625,2.9845454545454544
Istanbul,2025-05-17,0.18214285714285694,0.3757575757575753,2.4878571428571434,2.6700000000000004,1.7909090909090912,2.1666666666666665
Peace Claims,2025-05-19,0.6219642857142857,0.5662337662337664,2.234285714285714,2.8562499999999997,1.7909090909090908,2.357142857142857
